Bottle,Price,Rating,Region,apple,banana,cherry,citrus,fruity,lemon,orange,pear,raisins,zest,balanced,complex,dry,earthy,heavy,light,lingering,mellow,mild,old,smooth,barley,buttery,butterscotch,candy,chocolate,cinnamon,cocoa,corn,honey,tea,toffee,clove,coffee,floral,licorice,malty,mint,nutmeg,peaty,peppery,roses,spices,sugar,tobacco,vanilla,wood,sherry,bitter,brine,creamy,ginger,herbal,maple,nutty,oak,rich,salty,smokey,sour,spicy,sweet,amber,brown,green,caramel,pal
Forty Creek Barrel Select,16.585,79.0,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,8.0,2.0,,,,
Forty Creek Confederation Oak,23.783333333333335,82.0,Canada,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,2.0,,,1.0,,,,4.0,,,,,1.0,,2.0,,,,
Forty Creek Copper Pot Reserve,13.39,83.33333333333333,Canada,,,,,,,,,,,,,,,4.0,2.0,,,,,,6.0,,4.0,,,2.0,,8.0,,,1.0,,,,,,,,,,,,3.0,,1.0,,,,,,,,2.0,,,2.0,,,,,4.0,,4.0,,4.0,
Four Roses /r/bourbon selection OBSF,60.0,88.71428571428571,Bourbon,,,2.0,,,,,,,,3.0,,2.0,,,,,,,,,,,2.0,,,2.0,,,1.0,1.0,1.0,,,4.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,6.0,,,,1.0,3.0,,,,2.0,
Four Roses /r/bourbon selection OBSK,60.0,92.25,Bourbon,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,1.0,,,1.0,,3.0,,,,,,,,,1.0,,,,4.0,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,2.0,,2.0,
Four Roses Single Barrel,29.258378378378378,88.74509803921569,Bourbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,2.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,
Four Roses Single Barrel Private Selection OBSF,57.714285714285715,90.36363636363636,Bourbon,,,,2.0,2.0,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,2.0,,1.0,,,,1.0,,,,,,,1.0,,2.0,4.0,,,,3.0,,,,,2.0,,,,,4.0,1.0,,,,1.0,,,,,2.0,
Four Roses Single Barrel Private Selection OBSK,57.5,88.375,Bourbon,,,,,2.0,,,,,,2.0,,,,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,2.0,6.0,,2.0,,2.0,,,,,2.0,,,,,3.0,1.0,,,,2.0,3.0,,,,,
Four Roses Single Barrel Private Selection OBSO,57.0,88.14285714285714,Bourbon,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,4.0,,,,8.0,,1.0,1.0,3.0,,,1.0,,,,,,,3.0,,,,7.0,,,,2.0,6.0,3.0,
Four Roses Single Barrel Private Selection OBSQ,53.25,88.11111111111111,Bourbon,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,2.0,,,3.0,,,2.0,,6.0,,,,,,,3.0,,,,2.0,,,2.0,,,,,,,,4.0,,,,2.0,,,,,3.0,
Four Roses Single Barrel Private Selection OBSV,39.925000000000004,88.9090909090909,Bourbon,,,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,2.0,4.0,,,3.0,,,,2.0,,,,,,,2.0,,,8.0,,,,,1.0,,,,,7.0,
Four Roses Single Barrel Private Selection OESF,58.4,88.22222222222223,Bourbon,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,2.0,,,,,,,,,,,,5.0,,,,,,4.0,,4.0,,,
Four Roses Single Barrel Private Selection OESK,54.0,88.125,Bourbon,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,6.0,,,,,,,,,,,1.0,,,,4.0,,,,2.0,,2.0,,,,,,,,3.0,,,,,,,,,,,
Four Roses Single Barrel Private Selection OESO,58.75,87.75,Bourbon,,,,,2.0,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,2.0,,,2.0,
Four Roses Single Barrel Private Selection OESQ,64.5,89.25,Bourbon,,11.0,,,,,,,,,,,,1.0,,6.0,,,,,,,,2.0,1.0,2.0,6.0,,,,1.0,,,,4.0,,,2.0,,,,2.0,,2.0,,5.0,,,2.0,,,,,,,8.0,,,,2.0,4.0,2.0,,2.0,,3.0,
Four Roses Single Barrel Private Selection OESV,55.0,86.85714285714286,Bourbon,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,4.0,,,,8.0,,1.0,1.0,3.0,,,1.0,,,,,,,3.0,,,,7.0,,,,2.0,6.0,3.0,
Four Roses Small Batch,23.81769230769231,85.54761904761905,Bourbon,,,,,1.0,,,,,,1.0,,,,,1.0,,,,2.0,,,,,,,,,,3.0,,,,,,,,3.0,,,,1.0,,,,4.0,,,,,,3.0,3.0,,,,1.0,,,,1.0,,,,,,
Four Roses Small Batch Limited Edition 2013,77.91470588235293,93.57142857142857,Bourbon,,2.0,,,4.0,,1.0,,,,,,,,,,,4.0,,,,,,,,1.0,2.0,1.0,,,,,,,3.0,1.0,2.0,,,,,14.0,2.0,,,4.0,,,,,3.0,,1.0,,,3.0,1.0,,,,6.0,4.0,,,,,
Four Roses Small Batch Limited Edition 2014,101.0,93.0,Bourbon,,,,3.0,,,,,,2.0,1.0,,,,,6.0,,,,2.0,,,,,,,4.0,,,,,,,,,,,3.0,,,,8.0,,1.0,,2.0,,,,,2.0,,,,2.0,3.0,2.0,,,,,2.0,,2.0,2.0,4.0,
Four Roses Yellow Label,14.85,75.6,Bourbon,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,
Gentleman Jack,16.556,62.42857142857143,Tennessee ,,,1.0,,,,,,,,,,,,,4.0,2.0,2.0,,2.0,,,2.0,,,,,,2.0,,,,,,,,,,,,,,2.0,7.0,,3.0,5.0,,,,,,,,,9.0,,,,,,5.0,4.0,2.0,,2.0,
George T Stagg,102.5,94.33333333333333,Bourbon,,1.0,,,,,,,1.0,,,,,,,2.0,,,,,2.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0,,,,,,5.0,,,,,3.0,,,,3.0,
George T Stagg 2012,73.6,95.0,Bourbon,,,2.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,
George T Stagg 2013,80.0,89.53846153846153,Bourbon,,,,1.0,,,,,,,,,2.0,,,2.0,,2.0,,,,,1.0,,,3.0,3.0,,1.0,1.0,,,,,,,,,2.0,,,,,1.0,2.0,3.0,,,4.0,,4.0,,,2.0,,6.0,,,,,,,2.0,,,2.0,
George T Stagg 2014,95.0,94.44444444444444,Bourbon,,,,,,,,,,,2.0,2.0,,8.0,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,3.0,,,,2.0,,7.0,,,,,,,,,2.0,,1.0,15.0,,,,2.0,6.0,,,,8.0,
Glen Elgin 12,28.78333333333333,83.0,Speyside,1.0,,,,,,,,,,,,2.0,,,2.0,,,,,,,2.0,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,3.0,2.0,,2.0,,,,,,,,,,,4.0,2.0,,,,,,
Glen Garioch 12,29.493333333333336,84.36363636363636,Highland ,,,,1.0,,,,,,,,2.0,2.0,,,4.0,,2.0,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,2.0,
Glen Garioch Founder's Reserve,27.575,85.38461538461539,Highland ,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,,,,,,,,1.0,,,1.0,,2.0,2.0,
Glen Grant 10,38.92857142857143,81.1,Speyside,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,2.0,,,,,
Glendronach 12,22.363999999999997,83.33333333333333,Speyside,3.0,2.0,,,3.0,1.0,2.0,,7.0,,3.0,,11.0,,,12.0,,,,3.0,,,,,2.0,2.0,8.0,,,4.0,2.0,,,,4.0,,,,2.0,,,,,1.0,,1.0,12.0,7.0,12.0,,,,4.0,2.0,,,2.0,,,,,8.0,,,2.0,,
GlenDronach 12 Original,37.748999999999995,83.24137931034483,Speyside,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,1.0,,4.0,,,,,,,,2.0,,,,,4.0,4.0,,4.0,,2.0,
GlenDronach 15 Revival,55.4430303030303,87.80851063829788,Speyside,,,1.0,,,,,,,,,2.0,,,,,,,,1.0,2.0,,,,,4.0,,,,3.0,,,,2.0,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,2.0,,,,1.0,
GlenDronach 18 Allardice,94.5,86.81818181818181,Speyside,,,,,2.0,,,,6.0,,,,,,,2.0,,,,1.0,,,,,,6.0,,,,,,4.0,,,,,,,,,,,,,,,,15.0,2.0,,,,,,,4.0,,,,,,,2.0,,2.0,1.0,
GlenDronach 21 Parliament,80.965,87.4375,Speyside,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,,,3.0,1.0,2.0,,,,,,,,,,1.0,2.0,,,,2.0,,,,,3.0,2.0,2.0,,1.0,,,,7.0,,2.0,,,,1.0,,,,5.0,
GlenDronach Cask Strength,64.58571428571429,91.5,Speyside,,,,,,,,,2.0,,,2.0,,,2.0,,,,,,3.0,,1.0,1.0,,3.0,1.0,1.0,,2.0,,,,1.0,1.0,,2.0,,,,,,,,,3.0,,5.0,,,3.0,1.0,,,,4.0,,,,,5.0,3.0,,,,2.0,
Glenfarclas 10,26.671249999999997,80.05263157894737,Speyside,4.0,1.0,,2.0,,3.0,3.0,,2.0,1.0,,3.0,4.0,,,2.0,,,,1.0,,,,1.0,,3.0,6.0,,,8.0,,,,,,,,1.0,1.0,,3.0,,2.0,2.0,,5.0,,,,,,,,,,1.0,,1.0,,,4.0,2.0,,,,,
Glenfarclas 105 Cask Strength,68.1562962962963,88.88372093023256,Speyside,,,,,,,2.0,,,,,,,,,,,,,,,,,,3.0,2.0,3.0,,,,,,,,1.0,,,,,,,,,,1.0,2.0,,6.0,,,2.0,,,,,2.0,,,,,1.0,2.0,,,,,
Glenfarclas 12,34.33756097560974,84.52380952380952,Speyside,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,
Glenfarclas 15,59.143076923076926,85.77272727272727,Speyside,2.0,,,,2.0,,,,4.0,,,1.0,4.0,,,,,,,1.0,,,,,,,3.0,,,1.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
Glenfarclas 17,83.66666666666667,87.68,Speyside,,,4.0,,,,,,,,,,,,,,,,,2.0,,,,,,6.0,,,,1.0,,,,4.0,,,,1.0,,,,,,,,,,6.0,,,,,,,,,,,,,,3.0,,,,,
Glenfarclas 21,82.86166666666666,87.14285714285714,Speyside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenfarclas 25,126.54375,89.3,Speyside,,,,,,,,,1.0,,,1.0,,,,4.0,,,,5.0,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,5.0,,,,,,,2.0,4.0,,5.0,,,,,,2.0,,,,1.0,
Glenfarclas 31 Port Cask,520.0,88.83333333333333,Speyside,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,2.0,2.0,,,,
Glenfarclas 40,407.8,95.08333333333333,Speyside,,,,,,,,,,,,,,,,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,1.0,
Glenfiddich 12,33.91485294117647,77.09909909909909,Speyside,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,
Glenfiddich 14 Rich Oak,38.65,85.76923076923077,Speyside,,,,,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,4.0,6.0,2.0,,,,2.0,3.0,,,,,
Glenfiddich 15,44.1628125,83.5,Speyside,2.0,,,,2.0,4.0,,,,,2.0,,,2.0,,3.0,,,7.0,3.0,1.0,,,,,,,,,6.0,,1.0,,5.0,,,,,,,,,,,,2.0,,,,,,5.0,,,2.0,3.0,,,,,,,,,,2.0,
Glenfiddich 15 Distillery Edition,60.83857142857143,81.86666666666666,Speyside,2.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,6.0,2.0,,,,,1.0,,,,1.0,
Glenfiddich 18,58.43449999999999,84.8,Speyside,12.0,,,,,,,2.0,,,,,,,,4.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,2.0,,,,,,,
Glenfiddich 21 Gran Reserva,151.684,83.63636363636364,Speyside,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,,2.0,,,,,,,3.0,,,,1.0,,,,6.0,,3.0,
Glenfiddich Snow Phoenix,116.63666666666667,86.16666666666667,Speyside,,,,3.0,2.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,6.0,,,,,
Glengoyne 10,27.19666666666667,71.2,Highland ,,,,,4.0,,,,,,,,,,,6.0,,,,2.0,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,6.0,,,,,
Glengoyne 12,,83.28571428571429,Highland,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,1.0,,,,,,2.0,,,,
Glengoyne 17,55.6,81.73333333333333,Highland ,,,,,,1.0,2.0,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,2.0,1.0,,,,,,1.0,1.0,2.0,,,,2.0,2.0,,2.0,,1.0,
Glengoyne 21,115.0,85.16666666666667,Highland,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,4.0,1.0,,,,,,3.0,2.0,,,,,,,,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,
Glenkinchie 12,42.49090909090909,79.14814814814815,Lowland,2.0,,,2.0,,,2.0,,,1.0,,,,,,,2.0,,,,,,,,4.0,,,,,1.0,,,,,,,2.0,,,,,,,,,,1.0,,2.0,,,1.0,,,,,,,,2.0,,,,,,,
Glenlivet 12,31.51928571428571,76.92631578947369,Speyside,,,,,1.0,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenlivet 15 French Oak Reserve,37.703,80.9375,Speyside,11.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,3.0,,,2.0,,,,,10.0,,1.0,,,,,,,3.0,,6.0,,,,,4.0,,,2.0,,9.0,,,,,,,1.0,4.0,,,
Glenlivet 16 Nadurra,59.43529411764706,86.64912280701755,Speyside,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,2.0,,,,,,2.0,,,,,
Glenlivet 18,72.23,83.97872340425532,Speyside,2.0,,,,,,4.0,,,4.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,2.0,,,,,1.0,,,,,,,,,1.0,,4.0,,1.0,,,,,,,,,,,,,,,,,
Glenlivet 21 Archive,123.9125,89.61538461538461,Speyside,,2.0,,,,,,,1.0,,1.0,,2.0,2.0,,4.0,,,,,,,,,,,2.0,,,2.0,3.0,,,,2.0,,,,,,,,,,,,,2.0,,,2.0,4.0,,,,3.0,,,,,2.0,2.0,,,,,
Glenlivet 25,299.0,90.875,Speyside,7.0,,6.0,,,,,6.0,,,,,1.0,,,4.0,,,,4.0,3.0,,2.0,,,,3.0,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,8.0,2.0,,,,
Glenlochy 31 Signatory 1980,432.6666666666667,90.33333333333333,Highland ,,,,,,,,1.0,,,,,,1.0,2.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,6.0,6.0,,,,,1.0,,,,3.0,,,,,1.0,,,,,,
Glenlossie 19 Signatory 1992,80.0,84.83333333333333,Speyside,2.0,,,1.0,,,,1.0,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,
Glenmorangie 10 Original,35.02014084507043,81.36082474226804,Highland ,5.0,,1.0,,,,,2.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,
Glenmorangie 18,91.0,87.04761904761905,Highland ,,,,,,,2.0,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,
Glenmorangie Artein,69.8825,88.25,Highland ,4.0,,,,,,,,,1.0,,,,,,,2.0,,,2.0,,,4.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenmorangie Astar,81.07692307692308,88.25,Highland ,,,,,,2.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,2.0,,,,,,2.0,,,,,,,,,,,,,,,
Glenmorangie Companta,112.5,86.85714285714286,Highland,,,,,,,,,,,,,2.0,,,2.0,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
Glenmorangie Ealanta,105.21818181818183,89.45454545454545,Highland ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,5.0,,,,,,,,,,,
Glenmorangie Finealta,95.0,87.16666666666667,Highland,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
Glenmorangie Lasanta,43.3625,77.79545454545455,Highland ,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
Glenmorangie Nectar D'Or,56.92217391304347,83.62264150943396,Highland ,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,
Glenmorangie Quinta Ruban,43.087346938775504,85.125,Highland ,,,,,,,,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,2.0,,,,,1.0,,,,,
Glenmorangie Signet,71.05,87.13333333333334,Highland,,,,2.0,,,6.0,,,,,,,,,,,,,3.0,,,,,,7.0,,1.0,,,,,,2.0,2.0,,2.0,,,,,,,1.0,,,3.0,2.0,,,,,,,,,,,,,,1.0,,2.0,,,
Glenrothes 1998,48.2625,81.0909090909091,Speyside,,,,4.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,6.0,,,,,
Glenrothes Select Reserve,39.94285714285714,69.4,Speyside,1.0,,,,,5.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,
Grant's Family Reserve,15.211666666666668,68.85714285714286,Blend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Spot,40.17,80.72727272727273,Irish,,,,2.0,,,,,,2.0,,,,,4.0,5.0,,,,,2.0,6.0,,1.0,,,,,,2.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,,2.0,2.0,
Hakushu 12,64.5,84.4,Japan,,1.0,,,,2.0,,,,1.0,,,4.0,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,2.0,,,,,2.0,,,,2.0,,,,,
Hakushu 14 SMWS 120.7,180.0,90.125,Japan,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,2.0,,,,6.0,,,4.0,,,,1.0,,2.0,,,,1.0,
Hazelburn 8,54.544000000000004,82.0,Campbeltown,,,,1.0,,,,,1.0,,,,,,,2.0,,,,,,,,,,,1.0,,,3.0,,,,,2.0,,,,,,,,,,,3.0,,2.0,,,2.0,,,,,,,2.0,,,,,,,,,
Henry McKenna 10 Single Barrel,29.8125,83.0,Bourbon,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,3.0,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,
Hibiki 12,65.0,76.0909090909091,Japan,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,6.0,,2.0,,1.0,
Hibiki 17,38.25,86.85714285714286,Japan,3.0,5.0,,,,,,,,,,2.0,1.0,,,1.0,,,2.0,1.0,,,,,,,,,,3.0,,,4.0,,,,2.0,,,,,,,1.0,,3.0,,,,,,4.0,,,,,1.0,,,,,,,2.0,,6.0,
High West A Midwinter Nights Dram,63.52928571428571,93.05555555555556,Rye,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,1.0,
High West American Prairie Reserve,32.038,84.08333333333333,Bourbon,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,2.0,,1.0,,,,2.0,,,2.0,,,,5.0,,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,
High West Bourye,41.01428571428572,88.42857142857143,American,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,2.0,
High West Campfire,40.905454545454546,88.46666666666667,American,2.0,,,,,,3.0,,,,2.0,2.0,,,,,,,,,,,,,1.0,,2.0,,1.0,2.0,1.0,,1.0,,2.0,,,4.0,2.0,,,,3.0,,,3.0,2.0,,2.0,,,,,,,3.0,,2.0,,,,4.0,,,2.0,3.0,
High West Double Rye,33.45666666666667,87.47619047619048,Rye,,4.0,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,2.0,,1.0,,,1.0,,,2.0,,,,,,,5.0,2.0,,,,8.0,1.0,,,,1.0,
High West Rendezvous Rye,42.02916666666666,89.13333333333334,Rye,,,,,2.0,,,3.0,,,,,,,,,,,,,,4.0,6.0,,,,3.0,2.0,1.0,,,,,,,,,3.0,,,,,,,,5.0,,,,,,,,,,1.0,,,,,2.0,2.0,,,,1.0,
High West Son of Bourye,40.666666666666664,86.0,American,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,
Highland Park 10,20.26,83.57142857142857,Island ,,,,,,2.0,,,,,,,,,,,,,,5.0,,,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
Highland Park 12,43.200624999999995,84.65957446808511,Island ,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,4.0,,,,,
Highland Park 15,67.9,85.625,Island ,1.0,4.0,1.0,,,3.0,3.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,1.0,,1.0,,2.0,,,1.0,,,,,,,,1.0,,,,1.0,,,1.0,4.0,,,,1.0,,1.0,,2.0,,,1.0,1.0,,1.0,,2.0,2.0,1.0,
Highland Park 15 Freya,285.0,86.57142857142857,Island,,,,,,,,,,,,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,2.0,,,,,,,,,,,,1.0,,1.0,,,,,
Highland Park 15 Loki,257.5,88.625,Island ,9.0,,,,,3.0,,,,,,,,,,2.0,2.0,,,,,,,,,,5.0,,,,,,2.0,,2.0,,,2.0,2.0,,,,,,,1.0,12.0,,,,,4.0,,,,3.0,,,,6.0,4.0,10.0,,,5.0,3.0,
Highland Park 18,89.33461538461539,88.03448275862068,Island ,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,
Highland Park 25,193.9388888888889,90.66666666666667,Island ,,,,,,,,,1.0,,,,,,,4.0,,,,,,,,,,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
Highland Park 8 MacPhail’s Collection,33.0,84.42857142857143,Island,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,
Highland Park Dark Origins,87.875,82.82352941176471,Island,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,6.0,1.0,,,,,,,,,,,,,3.0,,,,,
Jura Superstition,37.690625,78.24137931034483,Island ,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
Isle of Skye 8 Ian Macleod,21.644,73.85714285714286,Blend,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,4.0,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,3.0,5.0,,,,,
J&B Rare,15.333333333333334,45.333333333333336,Blend,1.0,,,,2.0,,,,2.0,,,,,,,,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,2.0,,2.0,,,2.0,,1.0,,,,,,,,,,,,,,,,4.0,,,,,
Jack Daniel's Old No. 7,18.630833333333335,71.5,Tennessee,,,1.0,,,,1.0,,,,,,,,,,,,,7.0,,,,,,1.0,,,4.0,,,,,,6.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,2.0,,4.0,,3.0,
Jack Daniel's Single Barrel,36.50375,76.9090909090909,Tennessee,,,,,,,,,,,,2.0,,,,1.0,2.0,2.0,4.0,,2.0,,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,3.0,,,,,,,,,,2.0,,,,,10.0,2.0,,,1.0,
Jameson,22.481111111111108,74.6470588235294,Irish,,2.0,,,2.0,,,,,,,,,,,4.0,,,4.0,,,,,,,,,,,3.0,,,1.0,,,,,,,,1.0,,,,,3.0,,,,,,2.0,,,,,,,,,,1.0,,,,1.0,
