Bottle,Price,Rating,Region,apple,banana,cherry,citrus,fruity,lemon,orange,pear,raisins,zest,balanced,complex,dry,earthy,heavy,light,lingering,mellow,mild,old,smooth,barley,buttery,butterscotch,candy,chocolate,cinnamon,cocoa,corn,honey,tea,toffee,clove,coffee,floral,licorice,malty,mint,nutmeg,peaty,peppery,roses,spices,sugar,tobacco,vanilla,wood,sherry,bitter,brine,creamy,ginger,herbal,maple,nutty,oak,rich,salty,smokey,sour,spicy,sweet,amber,brown,green,caramel,pal
Auchentoshan Three Wood,59.583333333333336,82.82926829268293,Lowland,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,4.0,4.0,,,,,,,,,,,2.0,,,3.0,,2.0,,,
Auchentoshan Valinch,45.967894736842105,83.25,Lowland,4.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,2.0,,
Baker's 107,36.75,81.8,Bourbon,,,,,,,3.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,3.0,,,,,,,,,,,1.0,
Balcones Baby Blue,55.0,80.5,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balcones Brimstone,65.0,79.18181818181819,American,,,,,,,2.0,,,,,,1.0,,,,,,,2.0,,,,,,,1.0,,6.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,4.0,,4.0,,,,,,4.0,,2.0,,,
Balcones Texas Single Malt,60.666666666666664,85.375,American,,,,2.0,,,,,,,2.0,,,,,4.0,2.0,2.0,,,,,,,,,1.0,1.0,6.0,1.0,,,,,,,1.0,,,,,,,3.0,,3.0,4.0,,,,4.0,,,,,4.0,4.0,2.0,,2.0,,18.0,1.0,,,2.0,
Ballantine's Finest,17.05333333333333,71.85714285714286,Blend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,
Balvenie 10 Founder's Reserve,58.333333333333336,83.5,Speyside,,,,,2.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,,,,
Balvenie 12 Doublewood,46.50465517241379,81.81111111111112,Speyside,,,8.0,3.0,6.0,,,,,1.0,,9.0,,,8.0,12.0,10.0,2.0,6.0,2.0,6.0,,4.0,,,,22.0,,,,,21.0,,,5.0,,,,,,,,,,,2.0,1.0,28.0,4.0,,,,,2.0,,31.0,13.0,4.0,,5.0,6.0,38.0,,,10.0,2.0,
Balvenie 12 Signature,50.333333333333336,83.63636363636364,Speyside,,2.0,,,,,,,,,,,5.0,,,,,,,,1.0,,,,,,2.0,,,4.0,,,,,,,,,,,,,,1.0,,2.0,,,,,,2.0,,,,,,,,,,4.0,,,,,
